dataset,run_directory,kernel,requested_epoch,source_validation_index,layer_i,layer_j,similarity
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,1,1,1
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,1,2,0.675902864
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,1,3,0.9999695905
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,1,4,0.9994308576
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,1,5,0.999998305
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,1,6,1
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,1,7,1
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,1,8,1
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,2,1,0.675902864
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,2,2,1
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,2,3,0.6777565069
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,2,4,0.6819939651
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,2,5,0.6770477071
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,2,6,0.675999932
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,2,7,0.6759043746
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,2,8,0.675902294
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,3,1,0.9999695905
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,3,2,0.6777565069
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,3,3,1
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,3,4,0.9996552076
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,3,5,0.9999781512
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,3,6,0.9999701343
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,3,7,0.9999694079
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,3,8,0.9999694675
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,4,1,0.9994308576
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,4,2,0.6819939651
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,4,3,0.9996552076
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,4,4,1
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,4,5,0.9994874224
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,4,6,0.9994367883
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,4,7,0.9994304776
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,4,8,0.9994304311
elasticity,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/elasticity/20260916_194317_elasticity_Transolver_train,full,1,1,5,1,0.999998305
